Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person,Latitude,Longitude,Borough_Housing_Price,Borough_Population_Housing_Price,Cluster_Labels
Лианозово,СВАО,Муниципальный округ,45280563,45354000,5.79,85901,14836,1563.7,18.1,55.9001565,37.5662792,133827,0.6418809358350707,0
Ломоносовский,ЮЗАО,Муниципальный округ,45293574,45904000,3.34,88320,26443,2881.5,33.9,55.6799618,37.5332552,229014,0.38565327883884826,0
Лосиноостровский,СВАО,Муниципальный округ,45280565,45355000,5.54,82899,14963,1486.0,18.7,55.8826072,37.69454010000001,147845,0.5607156143258142,0
Люблино,ЮВАО,Муниципальный округ,45290568,45389000,17.41,172054,9882,2739.7,15.9,55.6756224,37.7619254,138523,1.2420608851959605,1
Марфино,СВАО,Муниципальный округ,45280567,45356000,2.97,35387,11914,711.1,26.2,55.8330416,37.59134470000001,167887,0.21077867851590654,0
Марьина Роща,СВАО,Муниципальный округ,45280569,45357000,4.68,67394,14400,1118.9,16.9,55.7955156,37.616309,211977,0.3179307188987485,0
Марьино,ЮВАО,Муниципальный округ,45290572,45390000,11.91,253943,21321,4523.0,18.6,55.6500377,37.74330560000001,140306,1.8099225977506308,1
Метрогородок,ВАО,Муниципальный округ,45263581,45311000,27.57,39024,1415,575.7,15.9,55.8249036,37.756955,132441,0.2946519582304573,0
Мещанский,ЦАО,Муниципальный округ,45286570,45379000,4.6,61213,13307,1417.4,24.4,55.779172,37.6279886,320746,0.1908457159247504,2
Можайский,ЗАО,Муниципальный округ,45268569,45321000,10.73,138610,12917,2655.9,20.0,55.7167137,37.4148645,200874,0.6900345490207792,1
Москворечье-Сабурово,ЮАО,Муниципальный округ,45296569,45917000,9.3,80673,8674,1314.7,17.9,55.64286510000001,37.6703469,164441,0.4905893299116401,0
Нагатино-Садовники,ЮАО,Муниципальный округ,45296571,45918000,8.17,83496,10219,960.4,12.8,55.67461170000001,37.645480600000006,180555,0.462440807510177,0
Нагатинский Затон,ЮАО,Муниципальный округ,45296573,45919000,9.8,120954,12342,1848.8,16.2,55.6754775,37.6810684,174442,0.6933765950860458,1
Нагорный,ЮАО,Муниципальный округ,45296575,45920000,5.42,81731,15079,1551.4,20.3,55.6703681,37.6163609,171887,0.4754926201516113,0
Нижегородский,ЮВАО,Муниципальный округ,45290578,45392000,7.57,45294,5983,722.3,16.8,55.7299222,37.71648029999999,167642,0.2701828897293041,0
Новогиреево,ВАО,Муниципальный округ,45263576,45309000,4.45,98415,22115,1704.0,17.9,55.74876510000001,37.8061677,151974,0.6475778751628568,0
Новокосино,ВАО,Муниципальный округ,45263579,45310000,3.6,107907,29974,1682.4,16.2,55.7398569,37.8603097,138743,0.7777473458120409,0
Обручевский,ЮЗАО,Муниципальный округ,45293578,45905000,6.11,86793,14205,1742.0,21.7,55.6641579,37.5203033,200635,0.4325915219179106,0
