Borough_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Зюзино,Спорт Зал Пифка,Gym,Россия,55.647086,37.584282
Зюзино,Кимберли,Gym / Fitness Center,"Азовская ул., 24 (Черноморский бул.), 117303",55.646669134299536,37.59710920562559
Зюзино,Фитнес Амазония,Gym / Fitness Center,"улица Азовская, 24, Корп. 3, 117452",55.64785601680104,37.59608600923585
Царицыно,L'Atletica,Gym / Fitness Center,"Пролетарский просп., 20, 115477",55.63376821718997,37.65759766388232
Орехово-Борисово Северное,Alfa Fitness (Альфа Фитнес),Gym / Fitness Center,"Каширское ш., 80 (ул. Маршала Захарова)",55.62462735773502,37.70983143942638
Орехово-Борисово Северное,World Class,Gym / Fitness Center,"Каширское шоссе, д.61 cтр.2, 115563",55.62124772445834,37.71330893896037
Зябликово,Спортлэнд,Gym,"Ореховый пр-д., 35, корп. 2, 115573",55.61848953961513,37.734926497934325
Зябликово,Force Factory,Gym / Fitness Center,"ул. Мусы Джалиля, 31, корп. 1",55.6157088476231,37.7457093541956
Очаково-Матвеевское,Элис Фитнес,Gym / Fitness Center,119361,55.67964381068136,37.44738598343919
Тропарёво-Никулино,Олимпиец,Gym,"ул. Коштоянца, 20",55.67503151035612,37.47673164830116
Тропарёво-Никулино,Зал вольной борьбы,Gym,"Мичуринский пр-т, Олимпийская Деревня, д. 2",55.67576800767429,37.47409429438793
Тропарёво-Никулино,Kristian Cestaro Brazillian Jiu Jitsu Academy,Martial Arts Dojo,Коштаянца Д20/3,55.67550314359846,37.477274840643524
Зюзино,Baza Fitness Club,Gym / Fitness Center,"Малая Юшуньская 3, 117303",55.654206997321864,37.59114917891619
Зюзино,K-Gym,Gym / Fitness Center,"Малая Юшуньская, д.1, корп.2, 117303, город Москва",55.65360275305501,37.59358980887807
Зябликово,Olimpic Fitness / БК Спарта,Gym / Fitness Center,"Шипиловская ул., 58/1, 115580",55.62133214822716,37.74562678322544
Очаково-Матвеевское,Йога Машенька,Yoga Studio,Большая Очаковская 28,55.681324395208044,37.45273573288724
Зябликово,Адреналин,Gym,"ул. Мусы Джалиля, 4А",55.62924540951617,37.74162315006182
Очаково-Матвеевское,"Качалка, Академия ФСБ",Gym,"Мичуринский просп., 70, город Москва, город Москва",55.684263562996605,37.47253060340881
Зюзино,"Фитнес ""Феромон""",Gym / Fitness Center,"Азовская ул., 18",55.65957020138985,37.60405352782778
Марьино,Open Air Gym At Mar'insky Park,Gym,Россия,55.64182876879265,37.70540393194798
Марьино,Академия Спорта,Gym / Fitness Center,Новочеркасский бульвар,55.64669447173064,37.71495597713367
Можайский,Фитнесс клуб С.С.С.Р,Gym,"Можайское шоссе, Стр.166Б",55.71614204015617,37.38425504678004
Можайский,СК Лидер,Martial Arts Dojo,"ул. Барвихинская, 8/2",55.71659967329099,37.38859166161557
Марьино,Miss Fitness,Gym / Fitness Center,"Новочеркасский бул., 44, 109144",55.64606388856174,37.7376315200105
