0,1,2,3,4,5
"
127
","
Щербинка
","
98523
","
−1,50%
","
6085897
","
−3,40%
"
"
128
","
Кокошкино
","
98403
","
−6,10%
","
5614200
","
−9,40%
"
"
129
","
Краснопахорское
","
98302
","
−8,00%
","
5603214
","
−4,90%
"
"
130
","
Десеновское
","
97858
","
−3,20%
","
5505546
","
−1,60%
"
"
131
","
Мосрентген
","
97652
","
−4,90%
","
5496385
","
−4,40%
"
"
132
","
Рязановское
","
95333
","
−6,00%
","
5314132
","
−1,50%
"
"
133
","
Роговское
","
90874
","
−5,10%
","
5034212
","
−0,70%
"
"
134
","
Вороновское
","
86320
","
−7,00%
","
4748802
","
−4,40%
"
"
135
","
Воскресенское
","
82477
","
−5,70%
","
4703256
","
−8,00%
"
"
136
","
Филимонковское
","
82364
","
−7,20%
","
4557877
","
−2,50%
"
"
137
","
Киевский
","
82311
","
−5,00%
","
4501487
","
−8,30%
"
"
138
","
Марушкинское
","
79998
","
−7,90%
","
4348592
","
−3,60%
"
"
139
","
Михайлово-Ярцевское
","
79454
","
−6,90%
","
4208693
","
−2,10%
"
"
140
","
Щаповское
","
75321
","
−6,40%
","
3860212
","
−3,30%
"
"
141
","
Новофедоровское
","
70874
","
−4,20%
","
3573741
","
−3,10%
"
"
142
","
Кленовское
","
68768
","
−5,10%
","
3415926
","
−3,80%
"
 ,"
Среднее
","
203654
","
−3,50%
","
10701402
","
 −1,80%
"
