Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person,Latitude,Longitude,Borough_Housing_Price
Тропарёво-Никулино,ЗАО,Муниципальный округ,45268592,45327000,11.27,124167,11017,2895.2,24.4,55.6458937,37.4726181,225256
Филёвский Парк,ЗАО,Муниципальный округ,45268595,45328000,9.62,94323,9804,1605.9,19.9,55.7394565,37.4834225,224957
Фили-Давыдково,ЗАО,Муниципальный округ,45268597,45329000,6.96,115128,16541,2388.6,21.3,55.7333709,37.45843633024383,222529
Хамовники,ЦАО,Муниципальный округ,45286590,45383000,10.08,109218,10835,2559.6,24.8,55.7440984,37.583061,425741
Ховрино,САО,Муниципальный округ,45277595,45347000,5.73,89018,15535,2450.2,30.2,55.8781328,37.4807583,159745
Хорошёво-Мнёвники,СЗАО,Муниципальный округ,45283582,45371000,17.18,173615,10105,2918.0,17.8,55.7771463,37.5074052,210645
Хорошёвский,САО,Муниципальный округ,45277598,45348000,9.88,72676,7355,2182.0,38.2,55.7857045,37.49392476004796,260203
Царицыно,ЮАО,Муниципальный округ,45296590,45923000,8.43,129138,15318,1836.9,14.9,55.6214833,37.6692504,125874
Черёмушки,ЮЗАО,Муниципальный округ,45293590,45908000,5.52,110753,20063,1656.7,16.3,55.6635403,37.5610662,213025
Чертаново Северное,ЮАО,Муниципальный округ,45296593,45924000,5.4,114548,21212,1899.5,17.2,55.6330775,37.6052365,180547
Чертаново Центральное,ЮАО,Муниципальный округ,45296595,45925000,6.52,117092,17958,2907.0,26.0,55.6122352,37.5891752,160577
Чертаново Южное,ЮАО,Муниципальный округ,45296597,45926000,9.38,151726,16175,2192.8,15.4,55.6006196,37.5898249,134332
Щукино,СЗАО,Муниципальный округ,45283587,45372000,7.69,111203,14460,2062.0,20.1,55.8096914,37.4534955,233545
Южное Медведково,СВАО,Муниципальный округ,45280594,45364000,3.88,85698,22087,1355.3,16.3,55.8716961,37.6378787,155965
Южное Тушино,СЗАО,Муниципальный округ,45283593,45373000,7.94,109218,13755,1714.9,16.9,55.8501172,37.4113336,162854
Южнопортовый,ЮВАО,Муниципальный округ,45290594,45396000,4.53,74729,16496,1449.0,20.6,55.7196035,37.6736187,190357
Якиманка,ЦАО,Муниципальный округ,45286596,45384000,4.8,27672,5765,788.7,29.8,55.7257911,37.6076001,404471
Ярославский,СВАО,Муниципальный округ,45280597,45365000,7.99,98108,12278,1404.5,15.3,55.77680245,37.65735153863656,159241
Ясенево,ЮЗАО,Муниципальный округ,45293598,45910000,25.37,177901,7012,2969.3,16.4,55.6062621,37.5337476,166852
