Borough_index,Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code
110.0,"Ховрино
","САО
","Муниципальный округ
",45277595.0,45347000.0
111.0,"Хорошёво-Мнёвники
","СЗАО
","Муниципальный округ
",45283582.0,45371000.0
112.0,"Хорошёвский
","САО
","Муниципальный округ
",45277598.0,45348000.0
113.0,"Царицыно
","ЮАО
","Муниципальный округ
",45296590.0,45923000.0
114.0,"Черёмушки
","ЮЗАО
","Муниципальный округ
",45293590.0,45908000.0
115.0,"Чертаново Северное
","ЮАО
","Муниципальный округ
",45296593.0,45924000.0
116.0,"Чертаново Центральное
","ЮАО
","Муниципальный округ
",45296595.0,45925000.0
117.0,"Чертаново Южное
","ЮАО
","Муниципальный округ
",45296597.0,45926000.0
118.0,"Щукино
","СЗАО
","Муниципальный округ
",45283587.0,45372000.0
119.0,"Южное Бутово
","ЮЗАО
","Муниципальный округ
",45293594.0,45909000.0
120.0,"Южное Медведково
","СВАО
","Муниципальный округ
",45280594.0,45364000.0
121.0,"Южное Тушино
","СЗАО
","Муниципальный округ
",45283593.0,45373000.0
122.0,"Южнопортовый
","ЮВАО
","Муниципальный округ
",45290594.0,45396000.0
123.0,"Якиманка
","ЦАО
","Муниципальный округ
",45286596.0,45384000.0
124.0,"Ярославский
","СВАО
","Муниципальный округ
",45280597.0,45365000.0
125.0,"Ясенево
","ЮЗАО
","Муниципальный округ
",45293598.0,45910000.0
126.0,"Троицк
","Троицкий
","Городской округ
",45298578.0,45931000.0
127.0,"Щербинка
","Новомосковский
","Городской округ
",45297581.0,45932000.0
128.0,"""Мосрентген""
","Новомосковский
","Поселение
",45297568.0,45953000.0
129.0,"Внуковское
","Новомосковский
","Поселение
",45297552.0,45941000.0
130.0,"Вороновское
","Троицкий
","Поселение
",45298553.0,45943000.0
131.0,"Воскресенское
","Новомосковский
","Поселение
",45297554.0,45942000.0
132.0,"Десёновское
","Новомосковский
","Поселение
",45297556.0,45944000.0
133.0,"Киевский
","Троицкий
","Поселение
",45298555.0,45945000.0
134.0,"Клёновское
","Троицкий
","Поселение
",45298558.0,45946000.0
135.0,"Кокошкино
","Новомосковский
","Поселение
",45297559.0,45947000.0
136.0,"Краснопахорское
","Троицкий
","Поселение
",45298561.0,45948000.0
137.0,"Марушкинское
","Новомосковский
","Поселение
",45297562.0,45949000.0
138.0,"Михайлово-Ярцевское
","Троицкий
","Поселение
",45298564.0,45951000.0
139.0,"Московский
","Новомосковский
","Поселение
",45297565.0,45952000.0
140.0,"Новофёдоровское
","Троицкий
","Поселение
",45298567.0,45954000.0
141.0,"Первомайское
","Троицкий
","Поселение
",45298572.0,45955000.0
142.0,"Роговское
","Троицкий
","Поселение
",45298575.0,45956000.0
143.0,"Рязановское
","Новомосковский
","Поселение
",45297571.0,45957000.0
144.0,"Сосенское
","Новомосковский
","Поселение
",45297574.0,45958000.0
145.0,"Филимонковское
","Новомосковский
","Поселение
",45297577.0,45959000.0
146.0,"Щаповское
","Троицкий
","Поселение
",45298583.0,45961000.0
