Cell_id,Cell_Latitude,Cell_Longitude,Venue_Id,Venue_Name,Venue_All_Categories,Venue_Latitude,Venue_Longitude,Venue_Location,Venue_Distance,Borough_Name,Venue_Category_Name,Venue_Category_Id
"55.790549979301545,37.74579261321943",55.79054997930154,37.74579261321943,4cfa678fc6cca35d42058632,Марк Аврелий,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.79157408986473,37.749033263065435,"Измайловское ш., 71",232,Измайлово,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.790549979301545,37.74579261321943",55.79054997930154,37.74579261321943,583c5eb1288b6a0d9cc2bbb4,Классика,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.79038830077106,37.74825418454315,Измайловское шоссе 71,155,Измайлово,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.78019576244162,37.79871953896194",55.780195762441615,37.79871953896194,511f50aae4b02709562cc149,Зал,"[('Gym', '4bf58dd8d48988d176941735')]",55.78163228524064,37.80100748403827,Россия,214,Ивановское,Gym,4bf58dd8d48988d176941735
"55.77501058325344,37.82517003053948",55.77501058325344,37.825170030539475,51a8dfc6498eca551e877236,X-Line Fitness,"[('Gym', '4bf58dd8d48988d176941735')]",55.777097267959995,37.82620614161953,"Ул. Челябинская, 7А",241,Ивановское,Gym,4bf58dd8d48988d176941735
"55.82836308664294,37.576176123110706",55.82836308664293,37.576176123110706,54298bf4498eb51b6a3cbd94,Твой Фитнес,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.82715617010559,37.57919210679533,"Яблочкова, 37",231,Бутырский,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.82322293123453,37.60270239470149",55.82322293123453,37.60270239470149,540ec20b498e79a130cfda0b,Беговой трек,"[('Track', '4bf58dd8d48988d106941735')]",55.82577452484482,37.60572544536406,Москва,341,Останкинский,Track,4bf58dd8d48988d106941735
"55.81979315519446,37.620381790755346",55.81979315519446,37.62038179075535,5012419de4b0adaeb01b0e8d,Зебра,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.82057218215456,37.61754872016065,"ул. Академика Королева, 13, стр. 5, 129515",197,Останкинский,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.81292639461969,37.655729091895864",55.81292639461969,37.65572909189585,4e9daebf0aaf015a06100873,Твой Фитнес,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.81259106825202,37.653676104352535,"ул. Маломосковская, 27, к. 2",133,Алексеевский,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.8112082035732,37.66456352210611",55.81120820357321,37.66456352210611,5299dc7f11d252745ce845a8,Площадка для воркаута,"[('Outdoor Gym', '58daa1558bbb0b01f18ec203')]",55.81050491333008,37.66540908813477,ПКиО »Сокольники» (Путяевские пруды),94,Сокольники,Outdoor Gym,58daa1558bbb0b01f18ec203
"55.800886461160005,37.71754996996094",55.80088646116001,37.717549969960935,56e2e627cd10fabb79e76316,Мисс Фитнес,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.80378852961105,37.71754813749465,"Зельев пер., 11",323,Преображенское,Gym / Fitness Center,4bf58dd8d48988d175941735
