Cell_id,Cell_Latitude,Cell_Longitude,Venue_Id,Venue_Name,Venue_All_Categories,Venue_Latitude,Venue_Longitude,Venue_Location,Venue_Distance,Borough_Name,Venue_Category_Name,Venue_Category_Id
"55.6627871364195,37.48538115637256",55.662787136419496,37.48538115637256,59c4f9cea5a315336ab7f43f,Spirit Fitness,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.66281954845519,37.481496930131264,"ТРЦ Avenue SouthWest, 119571",243,Тропарёво-Никулино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.65426642128892,37.52942906773122",55.654266421288916,37.529429067731215,4d31dafd9c2d59415e5936d8,Фитнес-центр «Остров»,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.65620585578078,37.52744997793665,"ул. Обручева, 30",249,Коньково,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.64060219326377,37.59985658190986",55.64060219326377,37.59985658190986,5a4be08e09e283441f033166,Spirit Fitness,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.64205548267461,37.603688856130255,"16А Балаклавский проспект (Чертановская ул.), 117452",290,Зюзино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.62861466248429,37.661430973317046",55.628614662484296,37.661430973317046,55f859e4498ea52d31452a5f,Dorfit,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.62897636976233,37.659111055235094,"Кавказский бульвар, 26",151,Царицыно,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.618316401617975,37.71417206347344",55.618316401617975,37.71417206347344,5b1c14862aff3100399cbd46,World Class,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.62124772445834,37.71330893896037,"Каширское шоссе, д.61 cтр.2, 115563",330,Орехово-Борисово Северное,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.618316401617975,37.71417206347344",55.618316401617975,37.71417206347344,5896d4a9af5c1416e00c1942,Aqua Юна Life,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.616634039302255,37.71579883163263,"Каширское шоссе д.61 корп. 3а, 115563",213,Орехово-Борисово Северное,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.669654599216415,37.47476987076625",55.66965459921642,37.47476987076625,527f4f2011d214914cda1e8b,"Спортивный Центр ""I-JUMP""","[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.667636655404785,37.47403958243042,"Ул. Академика Анохина, д.8, кор.1",229,Тропарёво-Никулино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.667952277343375,37.48358356106255",55.667952277343375,37.483583561062545,4f1ae0dde4b0889e04abcf1b,World Class,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.665873956710406,37.486649751663215,"проспект Вернадского, д.101, корп. 3, 119526",300,Тропарёво-Никулино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.64576765632934,37.5980755463935",55.64576765632935,37.5980755463935,4d60ec63e4fe54811bfe859e,Кимберли,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.646669134299536,37.59710920562559,"Азовская ул., 24 (Черноморский бул.), 117303",117,Зюзино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.64576765632934,37.5980755463935",55.64576765632935,37.5980755463935,5a44ccf93149b94955cbf7d6,Фитнес Амазония,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.64785601680104,37.59608600923585,"улица Азовская, 24, Корп. 3, 117452",263,Зюзино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.633780288828824,37.65965883798621",55.633780288828824,37.659658837986214,52a42e3011d2fde0e7c8fd9a,L'Atletica,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.63376821718997,37.65759766388232,"Пролетарский просп., 20, 115477",129,Царицыно,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.63206542317103,37.66845266064884",55.632065423171035,37.66845266064884,4e8dbf1093adeeb4cdb89974,Вымпел,"[('Gym', '4bf58dd8d48988d176941735')]",55.62999439365372,37.66754720150436,"Кавказский бул., 25",237,Царицыно,Gym,4bf58dd8d48988d176941735
"55.623482162254504,37.71240754757171",55.6234821622545,37.712407547571715,4c32090aa0ced13af170146e,Alfa Fitness (Альфа Фитнес),"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.62462735773502,37.70983143942638,"Каширское ш., 80 (ул. Маршала Захарова)",206,Орехово-Борисово Северное,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.61832506490661,37.73876909182543",55.61832506490661,37.738769091825425,4d578fb3afe4b60c895d4661,Спортлэнд,"[('Gym', '4bf58dd8d48988d176941735')]",55.61848953961513,37.734926497934325,"Ореховый пр-д., 35, корп. 2, 115573",242,Зябликово,Gym,4bf58dd8d48988d176941735
"55.61660484320867,37.7475543741317",55.61660484320868,37.7475543741317,531ab94d498e7d9468cf7322,Force Factory,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.6157088476231,37.7457093541956,"ул. Мусы Джалиля, 31, корп. 1",152,Зябликово,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.67992304689085,37.44652010504329",55.67992304689085,37.446520105043284,53fdb6e6498ea15f71f2045f,Элис Фитнес,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.679643810681355,37.44738598343919,119361,62,Очаково-Матвеевское,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.674819753933065,37.47297066811317",55.67481975393306,37.47297066811317,4eba1a2d5c5c0e067d328300,Олимпиец,"[('Gym', '4bf58dd8d48988d176941735')]",55.67503151035612,37.47673164830116,"ул. Коштоянца, 20",237,Тропарёво-Никулино,Gym,4bf58dd8d48988d176941735
"55.65264323050207,37.58749151096768",55.65264323050207,37.58749151096768,58ea8d77d4390771f079f0bd,Baza Fitness Club,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.654206997321864,37.59114917891619,"Малая Юшуньская 3, 117303",288,Зюзино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.65093315974343,37.59629418502939",55.65093315974343,37.59629418502939,4e149552ae60fe00dfe0731b,K-Gym,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.65360275305501,37.593589808878065,"Малая Юшуньская, д.1, корп.2, 117303, город Москва",342,Зюзино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.62177073172884,37.745794614491516",55.62177073172884,37.74579461449152,501f7846e4b047a4fb170f6f,Olimpic Fitness / БК Спарта,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.62133214822716,37.74562678322544,"Шипиловская ул., 58/1, 115580",49,Зябликово,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.62693666148362,37.744034536088655",55.62693666148362,37.744034536088655,4cd117d53e63721ed2c8a1cc,Адреналин,"[('Gym', '4bf58dd8d48988d176941735')]",55.62924540951617,37.74162315006182,"ул. Мусы Джалиля, 4А",298,Зябликово,Gym,4bf58dd8d48988d176941735
"55.65955366753904,37.601534757645624",55.65955366753904,37.60153475764562,4f2e4c5de4b040ea0022a342,"Фитнес ""Феромон""","[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.65957020138985,37.60405352782778,"Азовская ул., 18",158,Зюзино,Gym / Fitness Center,4bf58dd8d48988d175941735
